model_id,name,provider,release_date,tags,retired,overall,benchmarks_covered,bib_bench,keelenou,trivia_et_2,idiom_bench,term_bench,propaganda_resistance,trivia_et_3
openai/gpt-5.6-sol,GPT-5.6 Sol,OpenAI,2026-07-09,,false,71.26,7,90.62,66.25,78.0,70.67,56.59,92.79,43.88
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,Google,2026-02-19,,false,69.52,7,80.62,61.88,85.0,72.33,57.03,79.05,50.75
anthropic/claude-fable-5,Claude Fable 5,Anthropic,2026-06-10,,false,68.53,7,89.09,74.79,71.9,65.0,55.22,95.23,28.5
google/gemini-3.7-flash,Gemini 3.7 Flash,Google,2026-08-13,,false,68.22,7,80.25,66.46,81.9,70.33,57.25,74.33,47.0
openai/gpt-5.5,GPT-5.5,OpenAI,2026-04-23,,false,68.04,7,75.44,65.21,76.6,73.67,59.13,87.86,38.38
meta/muse-spark-1.2,Muse Spark 1.2,Meta,2026-08-05,,false,65.75,3,66.88,,,,49.57,80.79,
anthropic/claude-opus-5,Claude Opus 5,Anthropic,2026-07-24,,false,64.1,7,85.65,65.42,64.8,58.33,55.94,97.59,21.0
google/gemini-3.5-flash,Gemini 3.5 Flash,Google,2026-05-19,,false,62.89,7,65.0,61.88,80.0,64.0,54.13,72.96,42.25
openai/gpt-5.6-terra,GPT-5.6 Terra,OpenAI,2026-07-09,,false,61.21,7,77.5,61.04,62.9,64.33,49.64,92.96,20.12
google/gemini-3.6-flash,Gemini 3.6 Flash,Google,2026-07-21,,false,60.98,7,54.37,60.0,80.9,63.33,52.17,74.87,41.25
openai/gpt-5.6-luna,GPT-5.6 Luna,OpenAI,2026-07-09,,false,59.23,7,67.5,62.29,61.3,64.0,51.38,89.49,18.62
x-ai/grok-4.6,Grok 4.6,xAI,2026-08-12,,false,57.95,7,65.0,59.79,64.2,55.0,49.06,95.7,16.88
x-ai/grok-4.5,Grok 4.5,xAI,2026-07-08,,false,57.51,7,65.62,59.79,63.2,52.67,47.54,95.24,18.5
google/gemini-3-flash-preview,Gemini 3 Flash,Google,2025-12-17,,false,54.39,7,43.2,64.58,76.1,59.0,46.23,64.85,26.75
qwen/qwen3.7-max,Qwen 3.7 Max,Alibaba,2026-05-19,,false,53.56,7,59.51,54.37,64.9,51.33,45.0,87.32,12.5
openai/gpt-5,GPT-5,OpenAI,2025-08-07,,false,52.66,7,61.88,47.29,62.7,54.0,44.35,79.17,19.25
google/gemini-2.5-pro,Gemini 2.5 Pro,Google,2025-06-17,,false,52.51,7,33.75,51.04,71.5,57.0,46.3,82.01,26.0
anthropic/claude-opus-4.7,Claude Opus 4.7,Anthropic,2026-04-,,false,50.16,7,34.88,56.67,57.4,49.67,48.99,94.88,8.62
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,Anthropic,2025-02-24,,true,50.09,6,35.62,45.83,50.7,51.33,40.29,76.79,
anthropic/claude-opus-4.8,Claude Opus 4.8,Anthropic,2026-05-27,,false,49.24,7,32.52,59.17,55.8,49.0,46.81,92.73,8.62
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,2026-04-24,open,false,48.73,7,50.3,50.0,62.4,48.67,45.29,72.31,12.12
openai/gpt-5.4,GPT-5.4,OpenAI,2026-03-05,,false,48.36,7,34.16,53.12,52.1,61.0,44.42,88.87,4.88
openai/gpt-5.2,GPT-5.2,OpenAI,2025-12-11,,false,47.81,7,33.16,57.5,58.2,53.0,42.17,78.39,12.25
qwen/qwen3.8-max,Qwen 3.8 Max,Alibaba,2026-08-03,,false,47.55,7,49.38,52.08,52.8,44.0,41.09,86.76,6.75
anthropic/claude-opus-4.6,Claude Opus 4.6,Anthropic,2026-02-05,,false,47.28,7,38.89,52.92,54.4,48.33,39.49,89.84,7.12
moonshotai/kimi-k3,Kimi K3,Moonshot,2026-06-16,open,false,45.56,7,40.56,48.33,55.7,31.67,39.86,92.77,10.0
x-ai/grok-3,Grok 3,xAI,2025-02-17,,true,45.11,6,28.75,43.54,49.9,46.33,34.71,67.43,
anthropic/claude-opus-4.5,Claude Opus 4.5,Anthropic,2025-11-24,,false,44.87,7,31.29,48.33,54.2,46.67,38.7,89.01,5.88
qwen/qwen3.6-plus,Qwen 3.6 Plus,Alibaba,2026-04-01,,false,44.07,7,39.75,45.21,50.7,40.67,36.59,92.08,3.5
anthropic/claude-sonnet-5,Claude Sonnet 5,Anthropic,2026-06-30,,false,43.79,7,33.13,50.42,47.4,40.0,38.84,92.49,4.25
google/gemini-2.0-flash-001,Gemini 2.0 Flash,Google,2025-02-05,,true,42.8,6,23.75,48.12,48.6,37.67,33.91,64.74,
google/gemini-2.5-flash,Gemini 2.5 Flash,Google,2025-06-17,,false,42.7,7,28.57,49.58,53.6,51.67,40.43,73.04,2.0
anthropic/claude-opus-4,Claude Opus 4,Anthropic,2025-05-22,,false,41.62,7,31.87,45.83,51.6,44.67,37.1,74.14,6.12
openai/gpt-5.4-mini,GPT-5.4 Mini,OpenAI,2026-03-18,,false,41.3,7,31.25,46.46,50.8,42.33,30.8,84.34,3.12
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,,false,41.14,7,37.89,47.29,54.0,45.67,32.61,66.3,4.25
